X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude,NO.OF_STN
30488.4949780812,30623.6937192036,0,,MRT,ESPLANADE MRT STATION,1.293224220626348,103.85567876678118,1
34559.9202095021,33299.8634681193,0,,MRT,PAYA LEBAR MRT STATION,1.317425954587381,103.89226281142382,2
29400.6352440536,31266.6879174244,0,,MRT,DHOBY GHAUT MRT STATION,1.2990393015319923,103.84590391251706,3
34190.3490648774,32303.7837687939,0,,MRT,DAKOTA MRT STATION,1.3084178423882502,103.88894182804675,1
31290.7150709015,32178.0185675687,0,,MRT,LAVENDER MRT STATION,1.307280911406089,103.8628872189794,1
34355.6219426855,40965.0918183001,0,,LRT,RENJONG LRT STATION,1.3867475608332511,103.89042870733766,1
21913.073988517,32634.602519156,0,,MRT,DOVER MRT STATION,1.3114096690255728,103.778624570775,1
34573.6845807248,39243.5253687997,0,,MRT,HOUGANG MRT STATION,1.3711782898293314,103.89238778268404,1
19621.6523676487,40067.4726683004,0,,LRT,PHOENIX LRT STATION,1.3786293094241766,103.75803297634836,1
33521.188041663,33192.3398692854,0,,MRT,ALJUNIED MRT STATION,1.3164537540495649,103.88292925591136,1
36079.2654636044,42359.9594683006,0,,LRT,COVE LRT STATION,1.399361806134346,103.90591734245318,1
40901.4050508643,39435.3437680437,0,,MRT,PASIR RIS MRT STATION,1.3729109324585032,103.94924684964428,1
24398.5250256279,46921.1699183023,0,,MRT,ADMIRALTY MRT STATION,1.4406126453773145,103.80095581918914,1
36865.449651307,33699.8945673191,0,,MRT,KEMBANGAN MRT STATION,1.321043111260123,103.9129792739085,1
36147.9915052634,44300.4533182998,0,,LRT,PUNGGOL POINT LRT STATION,1.4169109000687052,103.90653544888949,1
21400.6610392686,46039.8359692923,0,,MRT,MARSILING MRT STATION,1.43264163935276,103.77401730548894,1
35482.5363039193,41820.0117183011,0,,LRT,COMPASSVALE LRT STATION,1.3944788768056753,103.9005551099728,1
27968.5642381269,44375.3125183005,0,,MRT,KHATIB MRT STATION,1.4175890633787522,103.83303610038104,1
33212.588625059,41556.1171683021,0,,LRT,LAYAR LRT STATION,1.3920928072182288,103.88015778573792,1
39697.6917315302,36424.6157183005,0,,MRT,TAMPINES WEST MRT STATION,1.345683529960256,103.93842946777472,1
40450.9194682281,37260.6211183008,0,,MRT,TAMPINES MRT STATION,1.353243748125379,103.94519801500984,2
41480.2335203869,37592.954218301,0,,MRT,TAMPINES EAST MRT STATION,1.3562487966558292,103.95444719279342,1
34120.6618498017,35286.0008180066,0,,MRT,TAI SENG MRT STATION,1.33538796036932,103.88831624849496,1
34909.1847110457,36028.7549183011,0,,MRT,TAI SENG FACILITY BUILDING,1.34210499119906,103.895401746524,1
35251.6221249381,43348.0214687744,0,,LRT,SUMANG LRT STATION,1.408297697310243,103.89848054540886,1
42515.9269141817,35181.7817683006,0,,MRT,SUB STATION,1.334442579931052,103.9637523940666,1
27191.8447910167,33591.465267982,0,,MRT,STEVENS MRT STATION,1.320063788780128,103.8260568830318,2
32677.4946757638,31687.8190683005,0,,MRT,STADIUM MRT STATION,1.3028475423479566,103.87534801772608,1
23978.936168617,34778.687218134,0,,MRT,SIXTH AVENUE MRT STATION,1.330800348232586,103.7971870698964,1
18203.7303038443,40252.0312682998,0,,LRT,SOUTH VIEW LRT STATION,1.3802979496051475,103.74529185400397,1
35112.9531980615,43006.5541183008,0,,LRT,SOO TECK LRT STATION,1.40520962615124,103.89723440416252,1
28595.5018870044,31417.2294687887,0,,MRT,SOMERSET MRT STATION,1.3004007721282156,103.83866943256928,1
41358.4398206545,36153.1953176664,0,,MRT,SIMEI MRT STATION,1.343228212779495,103.9533521609338,1
32509.6861984848,36866.261717763,0,,MRT,SERANGOON MRT STATION,1.3496795581642842,103.8738409431395,2
32421.7993577711,36904.274718156,0,,MRT,SERANGOON MRT STATION,1.3500233472450518,103.87305123035748,2
34910.5154306281,41493.2987682989,0,,MRT,SENGKANG MRT STATION,1.3915243459444808,103.89541497290776,2
29499.1921504741,35829.5859172695,0,,MRT,BRADDELL MRT STATION,1.3403045327736305,103.84678971209156,1
29171.2881265699,33635.1464684648,0,,MRT,NOVENA MRT STATION,1.3204588144751632,103.8438432154794,1
30319.7540647982,32753.3789188907,0,,MRT,FARRER PARK MRT STATION,1.3124843552380472,103.8541627160358,1
38776.6168183416,34026.6679680731,0,,MRT,BEDOK MRT STATION,1.3239977164749883,103.9301522084603,1
26174.3859917113,30218.6718674695,0,,MRT,REDHILL MRT STATION,1.2895613909994832,103.81691468296856,1
45285.7611404619,37703.3066191517,0,,MRT,CHANGI AIRPORT MRT STATION,1.3572448158112822,103.98864230750917,1
36818.9254870314,41758.9506683005,0,,LRT,CORAL EDGE LRT STATION,1.3939262872273408,103.9125636025552,1
20422.7227663454,33040.3125183006,0,,MRT,CLEMENTI MRT STATION,1.3150784338732806,103.7652329422772,1
18676.2495621636,36788.6269185029,0,,MRT,BUKIT BATOK MRT STATION,1.348976344273895,103.74953886964047,1
36826.5072015957,42690.4836683001,0,,LRT,OASIS LRT STATION,1.4023507265541535,103.91263201288788,1
35453.9563530813,43730.3436682993,0,,LRT,NIBONG LRT STATION,1.4117552273380878,103.90029878780564,1
36421.336485092,42082.4734683007,0,,LRT,MERIDIAN LRT STATION,1.3968522269183208,103.90899104638348,1
18941.105134229,37861.2148683787,0,,MRT,BUKIT GOMBAK MRT STATION,1.3586765193726802,103.75191843684084,1
35786.1482770151,33556.5332182968,0,,MRT,EUNOS MRT STATION,1.3197468966303656,103.90328115638228,1
16821.8841155187,36026.8808682989,0,,MRT,CHINESE GARDEN MRT STATION,1.3420867595041466,103.7328765378278,1
37245.2744870668,42390.6041683006,0,,LRT,KADALOOR LRT STATION,1.3996385957156063,103.91639488362264,1
34742.7885343104,42015.7109683007,0,,LRT,CHENG LIM LRT STATION,1.3962488911231217,103.89390793666016,1
35958.4787362017,43493.766417815,0,,LRT,SAM KEE LRT STATION,1.4096155737612286,103.9048322877718,1
20111.5615655595,45244.9335685103,0,,MRT,KRANJI MRT STATION,1.4254525038906984,103.76243375911125,1
29810.7297378631,39110.9228188503,0,,MRT,ANG MO KIO MRT STATION,1.3699797571904169,103.8495892603671,1
37226.2554581165,41837.4971183007,0,,LRT,RIVIERA LRT STATION,1.3946365055951528,103.9162238069946,1
19852.3936606116,40258.0680683007,0,,LRT,BUKIT PANJANG LRT DEPOT,1.3803530496713403,103.7601063023602,1
21249.4826995728,40213.2871183029,0,,LRT,BANGKIT LRT STATION,1.3799484226647474,103.77266018698856,1
23328.731213228,28746.904967513,0,,MRT,PASIR PANJANG MRT STATION,1.2762509557776016,103.7913455189746,1
23852.2320731897,32658.9406684106,0,,MRT,HOLLAND VILLAGE MRT STATION,1.31163009682314,103.79604884863106,1
24627.7276466669,28319.1426183004,0,,MRT,LABRADOR PARK MRT STATION,1.272382588511004,103.80301752146292,1
25944.4372007684,33798.989568089,0,,MRT,BOTANIC GARDENS MRT STATION,1.321940506667499,103.81484826160693,2
22892.787205453,31340.9711183011,0,,MRT,ONE-NORTH MRT STATION,1.299710704301598,103.78742798349,1
22555.3231554957,30657.4498190119,0,,MRT,KENT RIDGE MRT STATION,1.293529123061296,103.78439583719116,1
22269.9194826513,29434.1966173393,0,,MRT,HAW PAR VILLA MRT STATION,1.282466404034739,103.78183158630496,1
30421.0211236246,28690.6040681373,0,,MRT,MARINA BAY MRT STATION,1.2757420426385475,103.85507233775078,3
22507.0642161843,35313.1056181339,0,,MRT,KING ALBERT PARK MRT STATION,1.3356332063306386,103.78396138316334,1
29691.7248467095,32160.0604190043,0,,MRT,LITTLE INDIA MRT STATION,1.3071186330541245,103.84851953094586,2
30128.9728970395,31806.7623179602,0,,MRT,ROCHOR MRT STATION,1.3039235026977114,103.85244838822436,1
20106.1096987283,40512.8261186815,0,,LRT,SENJA LRT STATION,1.382657058036063,103.7623860593095,1
33499.9529869587,32063.7954176602,0,,MRT,MOUNTBATTEN MRT STATION,1.3062476038022814,103.88273824810568,1
19899.2870234944,34677.957018469,0,,MRT,ULU PANDAN DEPOT,1.3298885660311683,103.76052918048546,1
18097.7283751941,40778.1875183038,0,,MRT,CHOA CHU KANG MRT STATION,1.3850562768564103,103.74433917188468,2
31126.969401678,33489.9993175969,0,,MRT,BOON KENG MRT STATION,1.3191460178334524,103.8614160188164,1
33175.6902492463,36105.5944683002,0,,MRT,BARTLEY MRT STATION,1.3428002484385355,103.87982527648512,1
20912.3632438491,41077.9042682998,0,,LRT,SEGAR LRT STATION,1.3877676259107656,103.76963071190433,1
19329.3978870531,42100.1711033569,0,,MRT,GALI BATU DEPOT,1.397012203201144,103.75540625528303,1
20662.6060715725,38266.2889190523,0,,MRT,HILLVIEW MRT STATION,1.3623403369813798,103.7673871504284,1
21596.1131852339,35920.5603680936,0,,MRT,BEAUTY WORLD MRT STATION,1.341126629602862,103.77577583729855,1
20861.8774227886,37391.4121676331,0,,MRT,HUME MRT STATION,1.35442831696766,103.7691779456986,1
20015.1018783492,40117.5857188323,0,,MRT,BUKIT PANJANG MRT STATION,1.3790826234325482,103.76156839347722,2
20356.7604987319,39043.6140688384,0,,MRT,CASHEW MRT STATION,1.369370105912274,103.7646387235602,1
10746.7419800218,34438.8491872215,0,,MRT,JOO KOON MRT STATION,1.3277223477083135,103.67828877087258,1
18434.6167707397,42157.591818219,0,,MRT,YEW TEE MRT STATION,1.397531212763843,103.74736591526832,1
28183.1708649672,45704.0039182941,0,,MRT,YISHUN MRT STATION,1.429605267805162,103.83496453921694,1
29277.6577297291,40416.798818146,0,,MRT,YIO CHU KANG MRT STATION,1.3817896604083115,103.84479928952084,1
32173.0245805814,35702.9511683006,0,,MRT,WOODLEIGH MRT STATION,1.3391590418614376,103.8708156669667,1
22751.8434177193,46505.0699683016,0,,MRT,WOODLANDS MRT STATION,1.43684932962658,103.78615886180756,2
42244.9498582375,36001.065218104,0,,MRT,UPPER CHANGI MRT STATION,1.3418519988908126,103.96131790006658,1
29674.1274909388,29415.1003194087,0,,MRT,TELOK AYER MRT STATION,1.2822941808412194,103.84836126417215,1
33855.7816297353,41251.6093683011,0,,LRT,TONGKANG LRT STATION,1.3893388264615807,103.8859373180626,1
35332.4933303438,34686.1344684788,0,,MRT,UBI MRT STATION,1.3299627159110765,103.8992051032609,1
29575.9244271167,34979.8847675937,0,,MRT,TOA PAYOH MRT STATION,1.3326201332320744,103.84747915325372,1
27339.8354372226,29839.0625191721,0,,MRT,TIONG BAHRU MRT STATION,1.2861283836495925,103.82738673575447,1
32711.5183860407,42147.0351183005,0,,LRT,THANGGAM LRT STATION,1.3974369411744607,103.875655372024,1
31091.5035755449,30601.0904687894,0,,MRT,PROMENADE MRT STATION,1.2930197509780528,103.8610970533144,2
29938.6394823199,31016.9652183688,0,,MRT,BRAS BASAH MRT STATION,1.2967808685507534,103.850738105339,1
31385.7332037098,31350.8889190512,0,,MRT,NICOLL HIGHWAY MRT STATION,1.299800633004663,103.86374091227836,1
31987.5789576683,34857.140618341,0,,MRT,POTONG PASIR MRT STATION,1.3315098577030724,103.86914921814066,1
15494.6095054167,36265.6426192379,0,,MRT,LAKESIDE MRT STATION,1.3442455096241992,103.7209500994246,1
35652.9653355361,44179.6572183006,0,,LRT,SAMUDERA LRT STATION,1.4158186016397674,103.9020871733711,1
35141.7568648502,40652.6113183004,0,,LRT,RANGGUNG LRT STATION,1.3839214188777014,103.8974926526038,1
26539.3577045134,47860.021518301,0,,MRT,SEMBAWANG MRT STATION,1.449103471594514,103.8201932358293,1
35686.54506382,43001.0400692234,0,,LRT,PUNGGOL LRT STATION,1.405159611515032,103.90238860228372,1
35672.0421817391,40664.7460682999,0,,LRT,KANGKAR LRT STATION,1.384031026614794,103.90225766720864,1
34651.0431314765,33378.1230176432,0,,MRT,PAYA LEBAR MRT STATION,1.3181336862975055,103.8930816139685,2
12875.5416420314,35529.5983497629,0,,MRT,PIONEER MRT STATION,1.3375878013617684,103.6974166020482,1
30505.8040996609,31449.4287183538,0,,MRT,BUGIS MRT STATION,1.300691875540794,103.85583436255612,2
28509.9307752684,32731.8945678833,0,,MRT,NEWTON MRT STATION,1.3122901414369166,103.83790055896092,2
33690.2350302527,41259.3613683003,0,,LRT,SENGKANG LRT DEPOT,1.3894089655977302,103.88444975538737,1
23186.1706389804,32175.5497677857,0,,MRT,BUONA VISTA MRT STATION,1.3072583843160388,103.79006403577084,1
28743.448245069,29168.1953183892,0,,MRT,OUTRAM PARK MRT STATION,1.280061294256332,103.83999874445902,3
30382.1607220536,28772.7568689587,0,,MRT,MARINA BAY MRT STATION,1.2764850066862456,103.85472316901364,3
29407.9349136298,31235.5127181366,0,,MRT,DHOBY GHAUT MRT STATION,1.2987573636776624,103.84596950190723,3
29128.2511916249,29644.9150178583,0,,MRT,CHINATOWN MRT STATION,1.2843725685741625,103.84345636213015,2
42378.6005561035,35266.4190180117,0,,MRT,EXPO MRT STATION,1.3352080727770643,103.9625184811143,2
30014.3760143566,29591.9033178472,0,,MRT,RAFFLES PLACE MRT STATION,1.283893105164365,103.85141854026142,2
34096.1321503113,35956.7210181136,0,,MRT,KIM CHUAN DEPOT,1.3414537180659434,103.88809596964336,1
7491.63898834942,33703.1240186242,0,,MRT,TUAS CRESCENT MRT STATION,1.321066724278135,103.6490405037631,1
6124.01452775614,35834.7888679687,0,,MRT,TUAS LINK MRT STATION,1.34034368412433,103.63675022187684,1
6439.43882578757,34694.0483184365,0,,MRT,TUAS WEST ROAD MRT STATION,1.330027517695534,103.63958528796609,1
29813.0514413419,32138.5210682982,0,,MRT,LITTLE INDIA MRT STATION,1.3069238318942051,103.84960970677812,2
26108.9308613102,33843.4002172413,0,,MRT,BOTANIC GARDENS MRT STATION,1.3223421514877356,103.81632632125292,2
31068.6868194595,30578.088067812,0,,MRT,PROMENADE MRT STATION,1.292811727620337,103.86089203283274,2
30161.2577990277,30581.0078184368,0,,MRT,CITY HALL MRT STATION,1.2928382086999308,103.85273839850952,2
28630.5817989709,29328.9520694129,0,,MRT,OUTRAM PARK MRT STATION,1.2815151243948515,103.83898459972036,3
29653.5311892067,36989.9902675957,0,,MRT,BISHAN MRT STATION,1.3507988090031953,103.84817660354764,2
33838.4680466064,41066.5735691482,0,,MRT,SENGKANG MRT DEPOT,1.387665433225196,103.88578170525358,1
42271.2706035197,35194.3652188162,0,,MRT,EXPO MRT STATION,1.3345564962101284,103.9615540283337,2
32777.0254223559,41545.9042682991,0,,LRT,FERNVALE LRT STATION,1.392000520380106,103.87624390701184,1
42191.5673787612,34608.8085673121,0,,MRT,CHANGI DEPOT,1.3292609799784203,103.96083757874828,1
35681.6969826748,42992.2247683005,0,,MRT,PUNGGOL MRT STATION,1.4050798904591812,103.90234503590936,2
34652.5204608693,40503.0898683007,0,,MRT,BUANGKOK MRT STATION,1.38256931673503,103.89309646222058,1
36035.7910137295,41115.2382683009,0,,LRT,BAKAU LRT STATION,1.388105015526788,103.90552634663042,1
34239.2013313067,42116.6582183,0,,LRT,FARMWAY LRT STATION,1.397161934294511,103.889382825256,1
24101.9118001315,31643.4042682994,0,,MRT,COMMONWEALTH MRT STATION,1.3024459779281898,103.7982924705252,1
33347.9568787592,42231.1543183001,0,,LRT,KUPANG LRT STATION,1.3981975740396426,103.8813742994741,1
36367.0616213391,43018.3519683004,0,,LRT,DAMAI LRT STATION,1.4053159840187217,103.90850361322433,1
24964.7142218789,30777.0810683005,0,,MRT,QUEENSTOWN MRT STATION,1.2946113531022594,103.80604522898594,1
32228.8795035946,32635.9072183491,0,,MRT,KALLANG MRT STATION,1.3114217798906975,103.87131713376765,1
36076.2992971822,41497.7695183007,0,,LRT,RUMBIA LRT STATION,1.3915644769525808,103.9058904501226,1
20581.1330441983,39971.3594174851,0,,LRT,PETIR LRT STATION,1.3777603548251287,103.76665463439714,1
29830.932765646,37025.4515674207,0,,MRT,BISHAN MRT STATION,1.3511194980475836,103.8497706711423,2
13827.2254618806,35638.5820183001,0,,MRT,BOON LAY MRT STATION,1.338573870145329,103.70596796427712,1
18617.2661422868,40068.302717854,0,,LRT,KEAT HONG LRT STATION,1.3786365116641308,103.7490078349354,1
20345.6414167548,40964.2500176788,0,,LRT,JELAPANG LRT STATION,1.3867396348314622,103.7645383125277,1
18121.3406123164,40751.7382688541,0,,LRT,CHOA CHU KANG LRT STATION,1.3848170876173056,103.74455135444,1
34923.0991498711,41528.4631686378,0,,LRT,SENGKANG LRT STATION,1.3918423569784757,103.8955280557678,1
26741.815863956,27566.0914687993,0,,MRT,HARBOURFRONT MRT STATION,1.2655724116976883,103.82201337977578,2
21093.4943271553,39787.7988188429,0,,LRT,PENDING LRT STATION,1.3761004245854458,103.77125861622868,1
29453.5960185779,30059.0693189399,0,,MRT,CLARKE QUAY MRT STATION,1.288118021277323,103.84637973294492,1
30551.841627811,37079.5605686387,0,,MRT,BISHAN DEPOT,1.3516087877738,103.856248498813,1
20177.0476435355,39987.7773685368,0,,LRT,BUKIT PANJANG LRT STATION,1.3779087277481044,103.76302362903532,1
21047.6245039066,40719.6191190029,0,,LRT,FAJAR LRT STATION,1.3845274579838038,103.77084622279143,1
33768.8108570801,38025.2734678982,0,,MRT,KOVAN MRT STATION,1.3601610273970042,103.88515518934366,1
31442.5819363303,37075.7755678491,0,,MRT,LORONG CHUAN MRT STATION,1.3515744683117596,103.86425236584562,1
28662.2891373378,36752.9474685267,0,,MRT,MARYMOUNT MRT STATION,1.3486551165570837,103.83926966099128,1
26691.3698981294,27517.5500675951,0,,MRT,HARBOURFRONT MRT STATION,1.2651334182098133,103.82156010811178,2
23252.9602003094,32076.6908171212,0,,MRT,BUONA VISTA MRT STATION,1.3063643493944357,103.7906641866793,1
28699.8137723415,35528.6547683002,0,,MRT,CALDECOTT MRT STATION,1.337583047367875,103.83960681506714,2
30622.4763142422,31306.8052686044,0,,MRT,BUGIS MRT STATION,1.29940202974579,103.85688270317212,2
42698.6893286346,35025.8301872964,0,,MRT,BOCC,1.3330321247096035,103.96539453965973,1
28538.3625566424,32865.9861685832,0,,MRT,NEWTON MRT STATION,1.313502818065317,103.83815603487866,2
29348.686627601,32582.8856683001,0,,MRT,HALIFAX SUB STATION CABLE TROUGH,1.310942532278192,103.84543718790114,1
29221.9176643602,29684.7673179378,0,,MRT,CHINATOWN MRT STATION,1.284732975292426,103.8442979939288,2
30167.356080238,29105.2445177304,0,,MRT,DOWNTOWN MRT STATION,1.2794919237293936,103.8527930930642,1
32287.1067650416,33750.2350188289,0,,MRT,GEYLANG BAHRU MRT STATION,1.3214993566424411,103.87184048876986,1
31298.1810050849,32886.1297190123,0,,MRT,BENDEMEER MRT STATION,1.3136848172313378,103.86295437917242,1
29859.2075037601,31211.4672693265,0,,MRT,BENCOOLEN MRT STATION,1.2985398814350455,103.850024385721,1
29215.3951777281,30530.0967692405,0,,MRT,FORT CANNING MRT STATION,1.2923778381229276,103.84423941931416,1
36371.3465092805,35241.7369192848,0,,MRT,KAKI BUKIT MRT STATION,1.3349871147863956,103.90853992325428,1
40198.1605403968,37458.300316887,0,,MRT,TAMPINES MRT STATION,1.3550315894701548,103.94292689828004,2
30445.5921504665,31952.4643182241,0,,MRT,JALAN BESAR MRT STATION,1.3052411568035032,103.85529337037605,1
33541.1331369041,34351.7322682999,0,,MRT,MATTAR MRT STATION,1.326938881431472,103.88310868142392,1
34348.7479860685,34286.4474176188,0,,MRT,MACPHERSON MRT STATION,1.326348310993865,103.89036552538948,2
30862.168277766,29369.8689684219,0,,MRT,BAYFRONT MRT STATION,1.2818850389443084,103.85903626679334,2
29357.4429829628,31353.131817886,0,,MRT,DHOBY GHAUT MRT STATION,1.2998210716405476,103.84551581450977,3
25116.6260046845,33303.2991679596,0,,MRT,FARRER ROAD MRT STATION,1.3174575913945623,103.80740998761492,1
17873.7300695428,35034.8076183004,0,,MRT,JURONG EAST MRT STATION,1.333115184585916,103.74232832345506,2
37401.5894173968,35219.0396695089,0,,MRT,BEDOK NORTH MRT STATION,1.3347815466689104,103.91779723260906,1
38993.3521690981,35419.3162683188,0,,MRT,BEDOK RESERVOIR MRT STATION,1.336592238320683,103.93210018964264,1
27881.0116850948,31822.5908179565,0,,MRT,ORCHARD MRT STATION,1.3040667228697926,103.83224941391704,2
27711.1811119005,35099.2235682999,0,,MRT,BUKIT BROWN MRT STATION,1.333699430534944,103.83072337645648,1
28378.5229613489,40735.930469346,0,,MRT,LENTOR MRT STATION,1.3846757981754547,103.83671989490736,1
27939.6015348538,38359.1651675634,0,,MRT,BRIGHT HILL MRT STATION,1.3631811847056554,103.83277585763364,1
26306.0353329819,42218.7685681696,0,,MRT,SPRINGLEAF MRT STATION,1.398086006625169,103.81809693422244,1
31288.1650105319,28209.9861184784,0,,MRT,MARINA SOUTH PIER MRT STATION,1.2713954246259442,103.86286389197888,1
34163.1918073649,34228.7858678546,0,,MRT,MACPHERSON MRT STATION,1.325826878686734,103.8886981913608,2
27595.5550795211,47194.8768300892,0,,MRT,CANBERRA MRT STATION,1.4430881799294908,103.8296842428367,1
23672.6102959386,45381.0781182384,0,,MRT,WOODLANDS SOUTH MRT STATION,1.4266845133365176,103.79443300457096,1
22693.4947841539,47784.5369187677,0,,MRT,WOODLANDS NORTH MRT STATION,1.4484203495570829,103.78563430256364,1
8791.93168346447,33551.2425191465,0,,MRT,GUL CIRCLE MRT STATION,1.3196940123460792,103.66072435422718,1
6705.85364124209,35833.677517576,0,,MRT,TUAS DEPOT,1.3403340502087098,103.6419783631044,1
34690.9923136262,36147.7138750086,0,,MRT,TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,1.3431808624432389,103.89344118401148,1
22944.4880928657,46396.6699683722,0,,MRT,WOODLANDS MRT STATION,1.4358690349188803,103.78788997783236,2
23867.6410058591,44642.5321191361,0,,MRT,MANDAI DEPOT,1.420005400685447,103.796185641382,1
30336.2353610599,28798.5583189589,0,,MRT,MARINA BAY MRT STATION,1.276718349366734,103.854310514675,3
28737.3459157647,29291.6641183972,0,,MRT,OUTRAM PARK MRT STATION,1.2811779029321304,103.83994391557124,3
28021.0179486594,30100.3094677221,0,,MRT,HAVELOCK MRT STATION,1.2884910163031598,103.833507434169,1
27138.8282249056,33508.5430178683,0,,MRT,STEVENS MRT STATION,1.319313867812927,103.82558050385744,2
26404.4177587469,32122.0042177961,0,,MRT,NAPIER MRT STATION,1.3067744711330296,103.81898151635863,1
28193.9869965311,34530.4526682999,0,,MRT,MOUNT PLEASANT MRT STATION,1.3285556687793514,103.83506165933812,1
29918.5652648196,28895.3408696829,0,,MRT,SHENTON WAY MRT STATION,1.2775936448654333,103.8505576009566,1
31338.3965860034,28519.0628681593,0,,MRT,MARINA SOUTH MRT STATION,1.2741906009418558,103.86331527249112,1
31853.5304462311,29066.5984677279,0,,MRT,GARDENS BY THE BAY MRT STATION,1.2791422617936516,103.86794400104569,1
28030.7263359737,30761.2110683005,0,,MRT,GREAT WORLD MRT STATION,1.294467978155721,103.83359466861634,1
29189.1380718444,29225.2950187853,0,,MRT,MAXWELL MRT STATION,1.280577670298638,103.84400343908828,1
30394.626774759,28623.0136674598,0,,MRT,MARINA BAY MRT STATION,1.27513078077525,103.85483516983136,3
26914.8520696833,31705.0860186061,0,,MRT,ORCHARD BOULEVARD MRT STATION,1.3030040320414524,103.82356802509962,1
27774.5464114782,31709.5771670952,0,,MRT,ORCHARD MRT STATION,1.3030446666211837,103.83129277479992,2
25376.9188508121,28117.2010683008,0,,MRT,TELOK BLANGAH MRT STATION,1.2705563707237022,103.80974928512413,1
19138.8109017068,39852.3964683015,0,,LRT,TECK WHYE LRT STATION,1.3766840970509473,103.7536943587378,1
36158.1066625488,43854.0598183004,0,,LRT,TECK LEE LRT STATION,1.4128738786566788,103.9066262157254,1
29321.5766245497,28763.815468238,0,,MRT,TANJONG PAGAR MRT STATION,1.2764042057909155,103.84519343090024,1
40606.7492044787,34388.775417361,0,,MRT,TANAH MERAH MRT STATION,1.3272717805646304,103.94659704937033,1
25109.9977586548,34236.4020183003,0,,MRT,TAN KAH KEE MRT STATION,1.3258962421823532,103.8073503417344,1
27895.2150623501,37417.3942174285,0,,MRT,UPPER THOMSON MRT STATION,1.3546641436652254,103.83237701839316,1
28761.6147609988,35485.4927184348,0,,MRT,CALDECOTT MRT STATION,1.3371927036094844,103.84016213201612,2
28392.1567051889,39343.6867679949,0,,MRT,MAYFLOWER MRT STATION,1.3720848440988864,103.83684238601592,1
